Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
324000,1.4377528,-0.023772055,0.004017889,0.06535857,0.00013911173,0.14637055,0.0023238908,665.1666666666666,-1.4995000722507636,-1.4995000722507636,1.0
330000,1.4379661,-0.03481079,0.006634028,0.05756534,0.00013652632,0.14550877,0.0022808868,734.4,-1.2354000434279442,-1.2354000434279442,1.0
336000,1.4387343,-0.014088304,0.0063629854,0.063778765,0.00013390543,0.14463513,0.002237292,513.0,-1.1390000125393271,-1.1390000125393271,1.0
342000,1.4381775,-0.02710051,0.00524605,0.06660246,0.00013076408,0.143588,0.002185041,670.8571428571429,-1.5290000821862901,-1.5290000821862901,1.0
348000,1.4386444,-0.019490244,0.0049439115,0.07257474,0.00012766407,0.14255466,0.0021334777,1295.875,-1.5468750298023224,-1.5468750298023224,1.0
354000,1.4379387,-0.015047588,0.003601406,0.06950536,0.0001245319,0.14151062,0.0020813795,1021.2,-1.6222000196576118,-1.6222000196576118,1.0
360000,1.4348077,-0.033933345,0.0055159573,0.06377435,0.0001213774,0.14045912,0.0020289095,480.75,-1.2317500207573175,-1.2317500207573175,1.0
366000,1.4335155,-0.025617337,0.00433924,0.070506215,0.00011823641,0.13941212,0.0019766642,812.0,-1.7130000717937945,-1.7130000717937945,1.0
372000,1.4322808,-0.02748218,0.007455839,0.07841887,0.00011508507,0.13836168,0.001924247,595.8333333333334,-1.096833365658919,-1.096833365658919,1.0
378000,1.432654,-0.034832496,0.0039482308,0.06979657,0.00011246832,0.13748941,0.0018807217,473.7142857142857,-1.47471434623003,-1.47471434623003,1.0
384000,1.4340833,-0.01725179,0.00545051,0.07430539,0.00010985291,0.1366176,0.0018372186,852.6666666666666,-1.6036667426427205,-1.6036667426427205,1.0
390000,1.4346038,-0.04719204,0.006021537,0.070682645,0.0001066959,0.13556528,0.0017847071,689.3076923076923,-1.5364615980249186,-1.5364615980249186,1.0
396000,1.434577,-0.039238647,0.006863707,0.069229,0.000103551574,0.13451718,0.0017324067,380.35714285714283,-1.238500049603837,-1.238500049603837,1.0
402000,1.4346241,-0.02989608,0.010396385,0.061311346,0.00010044991,0.13348329,0.0016808155,419.8333333333333,-1.1708333759258192,-1.1708333759258192,1.0
408000,1.4339051,-0.0246689,0.00584666,0.06680422,9.730307e-05,0.13243432,0.001628473,454.90909090909093,-1.183181883259253,-1.183181883259253,1.0
414000,1.4336467,-0.043349963,0.006220495,0.064016886,9.4150746e-05,0.13138355,0.0015760394,637.9,-1.0389000169932843,-1.0389000169932843,1.0
420000,1.432878,-0.023977166,0.0074717593,0.07303244,9.155358e-05,0.13051784,0.0015328398,474.3,-1.175300046801567,-1.175300046801567,1.0
426000,1.4345536,-0.028724095,0.0061097103,0.06229357,8.895374e-05,0.12965123,0.0014895959,591.7857142857143,-1.307071485689708,-1.307071485689708,1.0
432000,1.4344306,-0.015097697,0.005341506,0.07241162,8.5842265e-05,0.12861407,0.0014378414,513.5,-1.5145000666379929,-1.5145000666379929,1.0
438000,1.4342716,-0.020927306,0.0032250464,0.07033414,8.271458e-05,0.12757148,0.0013858177,562.625,-1.563625080510974,-1.563625080510974,1.0
444000,1.4346077,-0.028458364,0.006868917,0.068040416,7.957042e-05,0.12652345,0.0013335198,654.7272727272727,-1.4739091592756184,-1.4739091592756184,1.0
